_id,Tema,Fichas_Dataset,XLS,SHP,KML,CSV,RSS,JSON,XML,ODS,RDF,GTFS,TSV,URL_ficha
1,Deporte,Actividades reconocidas por cada entidad deportiva,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/actividades-reconocidas-por-cada-entidad-deportiva
2,Hacienda,Adjudicaciones licitaciones,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/adjudicaciones-licitaciones
3,Sector público,Adquisiciones de nacionalidad española,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/adquisiciones-de-nacionalidad-espanola
4,Sector público,Afiliación a la Seguridad Social,,,,,,,,,,,,https://datosabiertos.navarra.es/es/dataset/afiliacion-a-la-seguridad-social
5,Empleo,Agencias de empleo de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/agencias-de-empleo-de-navarra
6,Cultura y ocio,Albergues turísticos en activo del Registro de Turismo de Navarra ,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/albergues-turisticos-en-activo-del-registro-de-turismo-de-navarra
7,Comercio,Alojamientos inscritos en el Registro de Turismo de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/alojamientos-inscritos-en-el-registro-de-turismo-de-navarra
8,Hacienda,Anuncios licitaciones,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/anuncios-licitaciones
9,Cultura y ocio,Apartamentos turísticos en activo del Registro de Turismo de Navarra,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/apartamentos-turisticos-en-activo-del-registro-de-turismo-de-navarra
10,Medio rural y pesca,Aprovechamiento de leñas autorizada en montes comunales,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/aprovechamiento-de-lenas-autorizada-en-montes-comunales
11,Medio rural y pesca,Aprovechamiento de madera autorizada en montes privados,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/aprovechamiento-de-madera-autorizada-en-montes-privados
12,Medio rural y pesca,Aprovechamiento de madera: Clasificación de Madera,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/aprovechamiento-de-madera-clasificaci-n-de-madera
13,Medio rural y pesca,Aprovechamiento de madera: Número de Pies,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/aprovechamiento-de-madera-n-mero-de-pies
14,Medio rural y pesca,Aprovechamiento de madera: Trabajos Iniciados y Finalizados,P,,,P,,P,P,P,,,P,https://datosabiertos.navarra.es/es/dataset/aprovechamiento-de-madera-trabajos-iniciados-y-finalizados
15,Cultura y ocio,Archivo Abierto,,,,,,,P,,,,,https://datosabiertos.navarra.es/es/dataset/archivo-abierto-
